transacao_id,cliente_id,valor,tipo,categoria,metodo_pagamento,data_transacao
78a5f3ab,38,2078.8,venda,automotivo,PIX,2025-01-18 22:41:00
4b54ba08,79,4254.37,compra,vestuário,PIX,2025-02-12 22:41:00
37184083,18,2269.44,compra,automotivo,PIX,2025-02-13 22:41:00
d5bd24b0,54,2119.95,compra,vestuário,cartão de crédito,2025-01-20 22:41:00
5a1c0aa4,75,3016.7,compra,automotivo,transferência,2025-02-12 22:41:00
1f185b8d,88,4790.84,compra,automotivo,boleto,2025-03-09 22:41:00
5944fe94,72,280.67,venda,livros,cartão de crédito,2025-01-29 22:41:00
79a14424,70,16.74,compra,alimentação,boleto,2025-02-07 22:41:00
e00e814e,67,2765.64,compra,eletrônicos,boleto,2025-02-17 22:41:00
405aa562,62,4821.0,venda,automotivo,PIX,2025-02-02 22:41:00
b296c5dd,86,4257.83,compra,automotivo,PIX,2025-02-21 22:41:00
f03d7247,82,1808.13,compra,livros,boleto,2025-02-26 22:41:00
fd57a78e,4,3862.43,compra,eletrônicos,PIX,2025-03-03 22:41:00
a092caff,41,4357.18,compra,alimentação,transferência,2025-02-03 22:41:00
1d944f35,96,2761.83,compra,livros,boleto,2025-01-20 22:41:00
17dfa307,53,3368.15,venda,automotivo,PIX,2025-01-22 22:41:00
31d16d65,6,1407.92,compra,eletrônicos,cartão de crédito,2025-02-18 22:41:00
b0391be8,62,2895.12,venda,eletrônicos,transferência,2025-01-10 22:41:00
b6dafd39,80,4063.34,compra,eletrônicos,PIX,2025-02-14 22:41:00
969029af,99,3094.67,venda,alimentação,transferência,2025-01-21 22:41:00
6f4ef2c2,58,2702.24,venda,livros,boleto,2025-02-09 22:41:00
9325c4a3,8,379.91,venda,vestuário,PIX,2025-01-18 22:41:00
4f2e0efd,65,2523.5,compra,automotivo,transferência,2025-01-20 22:41:00
aded91da,26,1404.21,venda,livros,PIX,2025-02-04 22:41:00
7e079c59,18,1447.34,compra,alimentação,PIX,2025-01-31 22:41:00
9f031169,85,2634.82,venda,livros,boleto,2025-02-09 22:41:00
ef5d9ab8,68,4205.49,compra,vestuário,cartão de crédito,2025-02-18 22:41:00
4f5d9014,34,3384.12,venda,vestuário,transferência,2025-03-05 22:41:00
690bbfd2,80,3060.25,compra,livros,PIX,2025-01-21 22:41:00
cc927e5a,60,4048.74,venda,eletrônicos,boleto,2025-01-11 22:41:00
08f9075f,55,3322.06,compra,vestuário,boleto,2025-02-10 22:41:00
c89e9062,18,1004.48,venda,automotivo,cartão de crédito,2025-03-02 22:41:00
5c255267,38,172.06,compra,alimentação,cartão de crédito,2025-01-11 22:41:00
63231f0f,72,3636.98,compra,automotivo,PIX,2025-02-24 22:41:00
62b82450,71,4152.93,compra,alimentação,cartão de crédito,2025-02-01 22:41:00
2a1fd9ac,54,3214.74,venda,livros,transferência,2025-01-25 22:41:00
00468146,55,1842.83,venda,vestuário,cartão de crédito,2025-01-14 22:41:00
b387666a,16,931.21,venda,vestuário,transferência,2025-01-17 22:41:00
8ddd6f20,66,2795.93,venda,vestuário,boleto,2025-02-18 22:41:00
67620569,12,4798.65,compra,vestuário,cartão de crédito,2025-02-27 22:41:00
b888ed66,61,794.49,compra,livros,PIX,2025-01-24 22:41:00
0e239e66,62,1472.29,compra,vestuário,transferência,2025-01-22 22:41:00
7db9d184,98,4464.92,venda,vestuário,transferência,2025-01-10 22:41:00
11824d6d,49,3563.74,venda,livros,boleto,2025-01-24 22:41:00
584a8041,74,2017.95,compra,vestuário,transferência,2025-01-31 22:41:00
a5448311,19,4818.3,venda,livros,cartão de crédito,2025-03-01 22:41:00
bf893fae,36,192.8,venda,livros,PIX,2025-01-11 22:41:00
ea4db481,51,3986.16,venda,vestuário,transferência,2025-01-27 22:41:00
1ba40771,27,4044.41,compra,eletrônicos,boleto,2025-03-03 22:41:00
bd2d11f5,41,361.18,venda,vestuário,transferência,2025-01-25 22:41:00
c74044a1,32,3904.2,compra,automotivo,PIX,2025-01-26 22:41:00
f0465224,32,893.49,venda,alimentação,boleto,2025-02-08 22:41:00
9c573ca0,13,4546.47,compra,livros,cartão de crédito,2025-01-18 22:41:00
067005de,94,2445.14,venda,livros,cartão de crédito,2025-02-24 22:41:00
f98f9cb3,91,2454.88,compra,alimentação,transferência,2025-01-30 22:41:00
25021969,51,1126.18,venda,vestuário,PIX,2025-03-09 22:41:00
9d92c3e3,21,4524.23,venda,livros,boleto,2025-01-31 22:41:00
95c03d72,54,3809.62,venda,livros,cartão de crédito,2025-02-01 22:41:00
dfe7548e,77,3865.26,compra,automotivo,PIX,2025-02-04 22:41:00
91f1e61c,86,104.77,venda,livros,transferência,2025-02-06 22:41:00
13bff73e,61,1195.15,venda,livros,boleto,2025-03-10 22:41:00
b755dc9e,73,1904.53,compra,livros,transferência,2025-02-02 22:41:00
7f3d8c82,85,579.88,compra,vestuário,boleto,2025-01-10 22:41:00
749dacd4,97,228.03,venda,livros,transferência,2025-01-10 22:41:00
b201e46d,55,2085.46,venda,automotivo,transferência,2025-02-06 22:41:00
0bb05170,92,773.54,compra,eletrônicos,PIX,2025-01-20 22:41:00
c5268a4b,73,2260.61,compra,automotivo,PIX,2025-03-01 22:41:00
80524a53,31,956.87,compra,eletrônicos,transferência,2025-01-13 22:41:00
d3478be3,44,1651.18,venda,eletrônicos,boleto,2025-01-13 22:41:00
347a2aeb,10,3313.0,compra,alimentação,cartão de crédito,2025-03-03 22:41:00
b3c4e47d,41,2971.94,venda,eletrônicos,cartão de crédito,2025-02-19 22:41:00
7d6430a5,27,167.62,venda,automotivo,cartão de crédito,2025-02-23 22:41:00
68d6234c,77,639.69,venda,livros,PIX,2025-01-26 22:41:00
cebe65b9,18,4390.57,venda,alimentação,PIX,2025-01-21 22:41:00
1c3f224a,1,1093.93,compra,eletrônicos,PIX,2025-02-07 22:41:00
20b5abbf,44,476.93,venda,eletrônicos,boleto,2025-02-14 22:41:00
067a2126,61,1535.98,compra,vestuário,transferência,2025-03-08 22:41:00
72db864b,56,4542.76,compra,alimentação,cartão de crédito,2025-01-16 22:41:00
61cae6e3,52,1161.78,compra,eletrônicos,boleto,2025-03-10 22:41:00
40a38e8c,36,223.54,compra,vestuário,boleto,2025-02-17 22:41:00
23a5e04f,25,2003.44,compra,livros,cartão de crédito,2025-02-19 22:41:00
0998c144,19,2609.17,venda,eletrônicos,cartão de crédito,2025-02-14 22:41:00
94651e52,10,2692.84,compra,eletrônicos,cartão de crédito,2025-02-02 22:41:00
5859bf4c,55,1705.61,venda,livros,PIX,2025-01-18 22:41:00
19a2dfe2,93,310.75,compra,eletrônicos,PIX,2025-02-10 22:41:00
5c4aa1e9,1,167.21,compra,automotivo,transferência,2025-03-10 22:41:00
89781cb0,51,2174.36,venda,alimentação,PIX,2025-02-22 22:41:00
26965348,64,2757.04,venda,eletrônicos,transferência,2025-02-10 22:41:00
0298b13b,58,1310.89,venda,automotivo,boleto,2025-01-19 22:41:00
6286f6b6,89,204.63,compra,automotivo,cartão de crédito,2025-02-19 22:41:00
a6c50b3d,44,2398.05,venda,livros,PIX,2025-02-09 22:41:00
330894b2,74,3102.95,compra,livros,transferência,2025-01-21 22:41:00
3292a63a,29,3707.38,compra,automotivo,cartão de crédito,2025-02-25 22:41:00
02dd6460,90,3139.38,venda,livros,PIX,2025-02-11 22:41:00
3d728d20,36,3200.06,compra,automotivo,cartão de crédito,2025-01-28 22:41:00
38d448c2,42,3957.08,venda,automotivo,transferência,2025-03-07 22:41:00
